Effect,Dx_desc,chapter,outcome,OddsRatioEst,LowerCL,UpperCL,impute_flag
PDx_T66toT78,Other and unspecified effects of external causes,Chp19_PDx,COMGENCategory_Num,1.35422,0.99484,1.8088,0
PDx_T51toT65,Toxic effects of substances chiefly nonmedicinal as to source,Chp19_PDx,COMGENCategory_Num,1.26854,0.79611,1.9397,0
PDx_T36toT50,"Poisoning by drugs, medicaments and biological substances",Chp19_PDx,COMGENCategory_Num,1.91233,1.46489,2.46568,0
PDx_T29toT31,Burns of multiple and unspecified body regions,Chp19_PDx,COMGENCategory_Num,0.96985,0.26299,3.35818,0
PDx_T26toT28,Burns of eye and internal organs,Chp19_PDx,COMGENCategory_Num,1.8921,0.57239,5.71676,0
PDx_T20toT25,"Burns of external body surface, specified by site",Chp19_PDx,COMGENCategory_Num,1.58984,1.25545,1.99325,0
PDx_T15toT19,Effects of foreign body entering through natural orifice,Chp19_PDx,COMGENCategory_Num,1.31852,1.00793,1.69932,0
PDx_T08toT14,"Injuries to unspecified part of trunk, limb or body region",Chp19_PDx,COMGENCategory_Num,0.61642,0.22015,1.50416,0
PDx_T00toT07,Injuries involving multiple body regions,Chp19_PDx,COMGENCategory_Num,2.28123,0.64736,7.60053,0
PDx_S90toS99,Injuries to the ankle and foot,Chp19_PDx,COMGENCategory_Num,1.57199,1.13764,2.12891,0
PDx_S80toS89,Injuries to the knee and lower leg,Chp19_PDx,COMGENCategory_Num,1.24117,0.87822,1.71122,0
PDx_S70toS79,Injuries to the hip and thigh,Chp19_PDx,COMGENCategory_Num,1.46727,0.96866,2.15152,0
PDx_S60toS69,Injuries to the wrist and hand,Chp19_PDx,COMGENCategory_Num,1.22451,0.98651,1.50297,0
PDx_S50toS59,Injuries to the elbow and forearm,Chp19_PDx,COMGENCategory_Num,1.05553,0.87584,1.2614,0
PDx_S40toS49,Injuries to the shoulder and upper arm,Chp19_PDx,COMGENCategory_Num,1.20309,0.94843,1.50654,0
